// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 49 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\Users\albaptis\Workspace\performances\benchmarks\DotNet.Performance.Benchmarks\bin\Release\net10.0\0a419c94-3977-488c-86b5-8012432fd351\obj\Release\net10.0/" /p:OutDir="C:\Users\albaptis\Workspace\performances\benchmarks\DotNet.Performance.Benchmarks\bin\Release\net10.0\0a419c94-3977-488c-86b5-8012432fd351\bin\Release\net10.0/" /p:OutputPath="C:\Users\albaptis\Workspace\performances\benchmarks\DotNet.Performance.Benchmarks\bin\Release\net10.0\0a419c94-3977-488c-86b5-8012432fd351\bin\Release\net10.0/" in C:\Users\albaptis\Workspace\performances\benchmarks\DotNet.Performance.Benchmarks\bin\Release\net10.0\0a419c94-3977-488c-86b5-8012432fd351
// command took 3.64 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\Users\albaptis\Workspace\performances\benchmarks\DotNet.Performance.Benchmarks\bin\Release\net10.0\0a419c94-3977-488c-86b5-8012432fd351\obj\Release\net10.0/" /p:OutDir="C:\Users\albaptis\Workspace\performances\benchmarks\DotNet.Performance.Benchmarks\bin\Release\net10.0\0a419c94-3977-488c-86b5-8012432fd351\bin\Release\net10.0/" /p:OutputPath="C:\Users\albaptis\Workspace\performances\benchmarks\DotNet.Performance.Benchmarks\bin\Release\net10.0\0a419c94-3977-488c-86b5-8012432fd351\bin\Release\net10.0/" --output "C:\Users\albaptis\Workspace\performances\benchmarks\DotNet.Performance.Benchmarks\bin\Release\net10.0\0a419c94-3977-488c-86b5-8012432fd351\bin\Release\net10.0/" in C:\Users\albaptis\Workspace\performances\benchmarks\DotNet.Performance.Benchmarks\bin\Release\net10.0\0a419c94-3977-488c-86b5-8012432fd351
// command took 19.51 sec and exited with 0
// ***** Done, took 00:00:23 (23.48 sec)   *****
// Found 4 benchmarks:
//   ArrayPoolBenchmark.Naive: DefaultJob [Size=100]
//   ArrayPoolBenchmark.Optimized: DefaultJob [Size=100]
//   ArrayPoolBenchmark.Naive: DefaultJob [Size=1000]
//   ArrayPoolBenchmark.Optimized: DefaultJob [Size=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Performances élevées)
// **************************
// Benchmark: ArrayPoolBenchmark.Naive: DefaultJob [Size=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 0a419c94-3977-488c-86b5-8012432fd351.dll --anonymousPipes 1844 1840 --benchmarkName "DotNet.Performance.Benchmarks.ArrayPool.ArrayPoolBenchmark.Naive(Size: 100)" --job Default --benchmarkId 0 in C:\Users\albaptis\Workspace\performances\benchmarks\DotNet.Performance.Benchmarks\bin\Release\net10.0\0a419c94-3977-488c-86b5-8012432fd351\bin\Release\net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.4 (10.0.426.12010), X64 RyuJIT AVX-512F+CD+BW+DQ+VL+VBMI
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX-512F+CD+BW+DQ+VL+VBMI,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 2559100.00 ns, 2.5591 ms/op
WorkloadJitting  1: 1 op, 435100.00 ns, 435.1000 us/op

OverheadJitting  2: 16 op, 297700.00 ns, 18.6063 us/op
WorkloadJitting  2: 16 op, 299000.00 ns, 18.6875 us/op

WorkloadPilot    1: 16 op, 14600.00 ns, 912.5000 ns/op
WorkloadPilot    2: 32 op, 27500.00 ns, 859.3750 ns/op
WorkloadPilot    3: 64 op, 87000.00 ns, 1.3594 us/op
WorkloadPilot    4: 128 op, 157000.00 ns, 1.2266 us/op
WorkloadPilot    5: 256 op, 272200.00 ns, 1.0633 us/op
WorkloadPilot    6: 512 op, 440700.00 ns, 860.7422 ns/op
WorkloadPilot    7: 1024 op, 678400.00 ns, 662.5000 ns/op
WorkloadPilot    8: 2048 op, 1425600.00 ns, 696.0938 ns/op
WorkloadPilot    9: 4096 op, 2739700.00 ns, 668.8721 ns/op
WorkloadPilot   10: 8192 op, 5373300.00 ns, 655.9204 ns/op
WorkloadPilot   11: 16384 op, 10572500.00 ns, 645.2942 ns/op
WorkloadPilot   12: 32768 op, 20329800.00 ns, 620.4163 ns/op
WorkloadPilot   13: 65536 op, 39982900.00 ns, 610.0906 ns/op
WorkloadPilot   14: 131072 op, 75368800.00 ns, 575.0183 ns/op
WorkloadPilot   15: 262144 op, 22544100.00 ns, 85.9989 ns/op
WorkloadPilot   16: 524288 op, 42354500.00 ns, 80.7848 ns/op
WorkloadPilot   17: 1048576 op, 96439800.00 ns, 91.9722 ns/op
WorkloadPilot   18: 2097152 op, 166194900.00 ns, 79.2479 ns/op
WorkloadPilot   19: 4194304 op, 338643900.00 ns, 80.7390 ns/op
WorkloadPilot   20: 8388608 op, 704223500.00 ns, 83.9500 ns/op

OverheadWarmup   1: 8388608 op, 18271200.00 ns, 2.1781 ns/op
OverheadWarmup   2: 8388608 op, 17452900.00 ns, 2.0805 ns/op
OverheadWarmup   3: 8388608 op, 19830100.00 ns, 2.3639 ns/op
OverheadWarmup   4: 8388608 op, 16708100.00 ns, 1.9918 ns/op
OverheadWarmup   5: 8388608 op, 17276500.00 ns, 2.0595 ns/op
OverheadWarmup   6: 8388608 op, 19118800.00 ns, 2.2791 ns/op
OverheadWarmup   7: 8388608 op, 19177700.00 ns, 2.2862 ns/op
OverheadWarmup   8: 8388608 op, 18058800.00 ns, 2.1528 ns/op

OverheadActual   1: 8388608 op, 15136000.00 ns, 1.8044 ns/op
OverheadActual   2: 8388608 op, 15529200.00 ns, 1.8512 ns/op
OverheadActual   3: 8388608 op, 14977500.00 ns, 1.7855 ns/op
OverheadActual   4: 8388608 op, 15287700.00 ns, 1.8224 ns/op
OverheadActual   5: 8388608 op, 15061700.00 ns, 1.7955 ns/op
OverheadActual   6: 8388608 op, 15392400.00 ns, 1.8349 ns/op
OverheadActual   7: 8388608 op, 17563100.00 ns, 2.0937 ns/op
OverheadActual   8: 8388608 op, 19713100.00 ns, 2.3500 ns/op
OverheadActual   9: 8388608 op, 16047900.00 ns, 1.9131 ns/op
OverheadActual  10: 8388608 op, 15222900.00 ns, 1.8147 ns/op
OverheadActual  11: 8388608 op, 14991300.00 ns, 1.7871 ns/op
OverheadActual  12: 8388608 op, 15690400.00 ns, 1.8704 ns/op
OverheadActual  13: 8388608 op, 15098100.00 ns, 1.7998 ns/op
OverheadActual  14: 8388608 op, 15238600.00 ns, 1.8166 ns/op
OverheadActual  15: 8388608 op, 15252000.00 ns, 1.8182 ns/op

WorkloadWarmup   1: 8388608 op, 623436600.00 ns, 74.3194 ns/op
WorkloadWarmup   2: 8388608 op, 674516900.00 ns, 80.4087 ns/op
WorkloadWarmup   3: 8388608 op, 685579200.00 ns, 81.7274 ns/op
WorkloadWarmup   4: 8388608 op, 631235900.00 ns, 75.2492 ns/op
WorkloadWarmup   5: 8388608 op, 664815700.00 ns, 79.2522 ns/op
WorkloadWarmup   6: 8388608 op, 641776200.00 ns, 76.5057 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 644589400.00 ns, 76.8410 ns/op
WorkloadActual   2: 8388608 op, 754337600.00 ns, 89.9240 ns/op
WorkloadActual   3: 8388608 op, 783842700.00 ns, 93.4413 ns/op
WorkloadActual   4: 8388608 op, 1014653100.00 ns, 120.9561 ns/op
WorkloadActual   5: 8388608 op, 1427385800.00 ns, 170.1576 ns/op
WorkloadActual   6: 8388608 op, 1091303000.00 ns, 130.0935 ns/op
WorkloadActual   7: 8388608 op, 954368900.00 ns, 113.7696 ns/op
WorkloadActual   8: 8388608 op, 935478200.00 ns, 111.5177 ns/op
WorkloadActual   9: 8388608 op, 875772200.00 ns, 104.4002 ns/op
WorkloadActual  10: 8388608 op, 814245700.00 ns, 97.0657 ns/op
WorkloadActual  11: 8388608 op, 1044295900.00 ns, 124.4898 ns/op
WorkloadActual  12: 8388608 op, 1070013500.00 ns, 127.5555 ns/op
WorkloadActual  13: 8388608 op, 990499300.00 ns, 118.0767 ns/op
WorkloadActual  14: 8388608 op, 1017404200.00 ns, 121.2840 ns/op
WorkloadActual  15: 8388608 op, 1076302600.00 ns, 128.3053 ns/op
WorkloadActual  16: 8388608 op, 998260600.00 ns, 119.0019 ns/op
WorkloadActual  17: 8388608 op, 1139773400.00 ns, 135.8716 ns/op
WorkloadActual  18: 8388608 op, 779751200.00 ns, 92.9536 ns/op
WorkloadActual  19: 8388608 op, 824469400.00 ns, 98.2844 ns/op
WorkloadActual  20: 8388608 op, 864583200.00 ns, 103.0663 ns/op
WorkloadActual  21: 8388608 op, 768506500.00 ns, 91.6131 ns/op
WorkloadActual  22: 8388608 op, 860057500.00 ns, 102.5268 ns/op
WorkloadActual  23: 8388608 op, 817341800.00 ns, 97.4347 ns/op
WorkloadActual  24: 8388608 op, 925094700.00 ns, 110.2799 ns/op
WorkloadActual  25: 8388608 op, 1237126400.00 ns, 147.4770 ns/op
WorkloadActual  26: 8388608 op, 1182213900.00 ns, 140.9309 ns/op
WorkloadActual  27: 8388608 op, 1169425600.00 ns, 139.4064 ns/op
WorkloadActual  28: 8388608 op, 1310694900.00 ns, 156.2470 ns/op
WorkloadActual  29: 8388608 op, 1089021500.00 ns, 129.8215 ns/op
WorkloadActual  30: 8388608 op, 974368800.00 ns, 116.1538 ns/op
WorkloadActual  31: 8388608 op, 848102500.00 ns, 101.1017 ns/op
WorkloadActual  32: 8388608 op, 807524700.00 ns, 96.2644 ns/op
WorkloadActual  33: 8388608 op, 822039900.00 ns, 97.9948 ns/op
WorkloadActual  34: 8388608 op, 1080721600.00 ns, 128.8321 ns/op
WorkloadActual  35: 8388608 op, 1346170300.00 ns, 160.4760 ns/op
WorkloadActual  36: 8388608 op, 1282936600.00 ns, 152.9380 ns/op
WorkloadActual  37: 8388608 op, 1662705000.00 ns, 198.2099 ns/op
WorkloadActual  38: 8388608 op, 1518675900.00 ns, 181.0403 ns/op
WorkloadActual  39: 8388608 op, 1027740900.00 ns, 122.5163 ns/op
WorkloadActual  40: 8388608 op, 885325200.00 ns, 105.5390 ns/op
WorkloadActual  41: 8388608 op, 952609000.00 ns, 113.5598 ns/op
